city,rooms,m2,repair,floor,all_floor,real_price
2,2,53,2,9,10,4800000
2,2,71,2,4,5,6990000
2,3,99,1,13,22,10000000
2,3,158,1,15,17,8500000
2,3,155,1,3,5,9700000
2,2,60,2,19,28,10099000
2,2,80,1,13,24,11000000
2,2,73,1,12,17,8950000
2,2,80,1,3,17,20155000
2,1,43,1,3,17,6900000
2,2,80,1,3,17,6400000
2,2,80,1,3,17,14200000
2,2,80,1,3,17,15720000
2,2,46,1,2,17,4564558
2,3,73,2,1,17,5950000
2,2,80,1,3,17,8350000
2,2,80,1,3,17,8900000
2,1,32,1,3,15,4560000
2,2,80,1,3,17,7200000
2,1,38,1,7,17,2500000
2,1,26,1,15,17,4490000
2,2,80,1,19,28,8100000
2,1,36,1,17,28,8150000
2,1,38,1,3,17,3500000
2,2,80,1,3,17,6600000
2,2,80,1,3,17,8010000
2,1,38,1,3,17,4990000
2,1,38,1,3,17,4500000
2,2,80,1,3,17,8200000
2,2,80,1,3,17,8100000
2,2,80,1,3,17,7000000
2,2,80,1,3,17,7250000
2,2,80,1,3,17,26549760
2,3,103,2,1,17,6800000
2,1,36,1,17,28,6300000
2,3,89,1,22,27,13788598
2,2,82,1,2,7,12461553
2,2,65,2,1,7,8141470
2,3,76,1,3,22,7179954
2,1,34,2,3,5,4759682
2,2,79,1,21,26,11877273
2,3,48,1,17,27,9507303
2,1,49,1,3,9,2278492
2,1,34,1,4,27,4024073
2,2,69,1,8,19,10237191
2,3,95,1,2,5,8396100
2,3,108,1,4,31,21280676
2,2,68,1,15,23,10937365
2,2,59,2,11,13,12153984
2,2,82,1,6,7,3120266
2,1,40,1,1,5,4635323
2,2,72,1,15,24,12181459
2,2,68,1,1,28,19289897
2,2,75,1,3,18,17892483
2,2,80,2,4,16,11100348
2,2,66,1,26,32,20170275
2,2,75,2,13,18,10630167
2,1,41,1,5,11,5788157
2,5,228,1,1,8,29751178
2,1,36,1,10,41,5639673
2,2,68,1,5,22,4972882
2,2,78,1,5,9,4364554
2,2,77,1,21,26,9158306
2,2,74,1,17,20,7575994
2,2,64,1,14,18,9137117
2,2,61,1,2,37,9983130
2,2,86,1,6,8,16003417
2,1,35,1,21,31,3853285
2,2,58,1,10,18,22026298
2,2,81,1,2,13,17139420
2,2,66,1,1,5,9957171
2,1,32,1,17,27,7926722
2,2,81,1,3,13,6745423
2,1,42,1,5,26,6163876
2,1,35,1,3,5,4610537
2,6,208,1,2,17,27241334
2,1,41,1,3,6,2642026
2,2,79,2,10,23,10257673
2,1,37,1,24,24,4752653
2,3,80,1,3,5,11006479
2,1,40,1,12,13,5152480
2,1,36,1,10,26,7842348
2,2,97,1,8,24,11840294
2,1,31,1,8,25,4480420
2,2,75,1,12,23,8530990
2,1,36,1,9,28,4782971
2,4,70,1,37,38,8279998
2,3,66,1,8,8,10585709
2,2,81,2,22,39,6804101
2,2,75,2,1,5,23763474
2,2,62,1,2,5,20770710
2,1,40,1,5,5,3016318
3,2,58,1,5,9,13500000
3,1,37,3,7,20,8400000
3,1,41,1,2,10,9699000
3,2,50,1,2,10,11000000
3,1,41,1,5,12,7890000
3,3,93,2,12,14,17170000
3,3,61,2,9,10,13990000
3,2,88,3,3,6,14400000
3,4,225,1,4,5,32200000
3,3,97,2,2,3,14400000
3,1,42,2,19,25,11272740
3,3,81,2,3,25,20148752
3,1,31,1,5,11,8300000
3,4,106,2,9,10,61191396
3,3,80,2,9,19,16600000
3,2,53,1,3,10,10199000
3,2,55,2,6,24,13931698
3,3,80,2,2,15,22130850
3,3,96,2,3,25,22630746
3,3,82,1,14,15,22016920
3,3,56,2,5,7,17727843
3,2,74,1,1,7,15764728
3,3,86,2,5,25,16088998
3,1,36,2,8,12,10555667
3,3,98,2,9,9,18453890
3,3,72,2,9,15,14765193
3,3,86,2,9,12,17691965
3,2,44,2,13,14,13934321
3,2,65,1,6,16,18188746
3,3,76,1,2,12,13535305
3,1,27,2,23,27,8980060
3,2,64,2,8,9,14704389
3,1,44,3,4,5,9430109
3,1,35,2,5,5,9505938
3,1,39,1,3,5,8720483
3,1,40,3,6,14,8303764
3,4,195,2,1,6,50412506
3,3,84,2,7,7,14100399
3,3,112,2,2,9,25108883
3,1,38,2,4,5,7006658
3,4,298,2,5,5,59984593
3,1,38,2,11,20,9092224
3,2,51,3,9,10,14716002
3,2,60,1,6,12,15158845
3,3,97,2,1,5,24920367
3,1,37,1,5,9,5895519
3,2,67,2,2,15,17261511
3,2,64,1,10,13,14162315
3,1,32,3,13,14,8790350
3,4,62,2,12,18,44581158
3,1,32,2,4,5,12070473
3,2,43,1,10,15,13924710
3,2,43,2,5,5,14273456
3,3,93,3,12,13,20123956
3,3,102,2,9,13,14818387
3,2,57,2,7,10,13182124
3,3,90,2,3,10,14470380
3,3,81,1,8,19,16359665
3,2,58,1,3,5,11756102
3,1,38,2,16,19,7387584
3,3,81,2,9,11,20002087
3,2,61,1,10,16,14922436
3,1,37,1,3,17,6464291
3,3,59,1,7,12,21167162
3,2,54,1,16,28,13475543
3,2,51,1,6,17,11391335
3,1,42,1,4,16,10009279
3,4,168,1,4,5,34515218
3,3,94,2,15,21,19684211
3,1,39,3,2,5,8357552
3,1,39,1,3,9,7289797
3,1,39,2,2,17,5559491
3,2,64,2,1,8,11729806
3,3,83,1,10,24,16299737
3,3,80,3,8,10,21803883
3,2,59,2,23,27,10210648
3,3,79,2,17,18,17858024
3,2,72,1,10,15,10495202
3,2,74,3,7,33,9805682
3,2,72,1,1,5,16397330
3,3,86,1,4,5,11088757
3,1,37,2,1,5,8719648
3,2,87,1,8,9,13351287
3,1,42,3,14,19,7969069
3,1,34,2,6,19,10231341
3,3,76,1,1,11,17376348
3,4,131,1,6,9,34642705
3,2,50,1,4,17,12550367
3,3,95,1,6,12,19920051
3,1,42,1,3,24,11012937
3,4,269,1,1,5,59890616
3,3,98,2,6,8,17186552
3,2,60,2,3,14,12302514
3,4,179,2,9,18,22300883
3,1,31,2,5,5,7453962
3,4,54,2,2,5,23387915
3,2,63,2,12,13,13822412
3,2,79,2,4,13,11535809
4,2,67,2,3,11,15990000
4,2,77,1,2,8,28300000
4,1,36,1,12,14,17350000
4,1,40,1,2,12,17990000
4,1,44,1,13,23,10900000
4,3,60,2,2,5,16950000
4,3,93,2,15,20,20451000
4,2,70,1,2,8,39950000
4,2,100,1,4,5,29000000
4,4,229,1,1,2,55000000
4,2,56,1,5,17,7999999
4,2,86,1,10,17,14750000
4,2,45,2,2,9,7800000
4,1,51,1,5,12,8366280
4,1,19,1,2,4,4300000
4,2,55,1,1,12,9658745
4,1,24,1,9,13,5379743
4,1,40,1,7,10,7999000
4,1,35,1,1,5,17734988
4,2,125,1,2,9,22124317
4,1,33,1,9,9,12975228
4,3,43,1,5,6,17693000
4,2,73,1,3,12,17060275
4,1,60,1,5,5,14684443
4,2,59,1,12,24,9648345
4,2,93,1,6,9,11328086
4,3,73,1,2,5,16169020
4,2,80,2,1,5,12835840
4,1,25,1,2,14,10316001
4,2,107,2,3,10,7153588
4,2,71,2,3,15,25564573
4,1,43,1,8,8,3182543
4,3,55,1,3,12,17649360
4,2,88,2,7,15,26007602
4,1,41,2,13,19,11819893
4,2,52,1,10,12,5546640
4,2,56,1,3,7,22782451
4,1,48,2,4,15,12686653
4,2,59,1,10,10,15941091
4,2,68,1,2,5,12899864
4,2,96,1,8,14,33314430
4,2,74,1,5,14,6192566
4,2,24,2,22,27,16567747
4,2,78,1,5,8,20287905
4,2,78,2,6,9,15856434
4,2,55,1,3,6,23527076
4,2,49,1,7,9,32363662
4,1,37,2,6,9,2845516
4,4,214,1,1,9,55261202
4,2,84,1,4,9,23027537
4,2,49,1,2,5,24474308
4,2,74,2,1,5,20002378
4,3,104,1,7,12,16873194
4,1,40,1,1,17,15723386
4,1,31,2,4,12,15177468
4,1,28,1,1,14,11732948
4,2,58,1,13,14,25331260
4,2,101,2,4,8,2606387
4,1,32,1,8,14,15939330
4,2,76,1,6,8,38146319
4,1,43,1,3,7,1905977
4,2,65,1,8,9,22985624
4,3,78,1,1,10,15976373
4,1,37,1,8,15,18904836
4,2,89,1,1,16,19538466
4,1,34,2,6,18,20359584
4,1,22,1,2,7,4129291
4,2,33,1,5,5,22120528
4,2,85,1,8,12,40012451
4,2,58,2,5,6,17056131
4,1,34,1,2,13,6785257
4,1,35,1,9,18,15847127
4,2,93,2,11,14,17890755
4,2,68,1,5,5,15802293
4,1,45,1,11,12,7404715
4,2,121,1,4,11,17325212
4,4,244,1,5,6,53566071
4,2,66,2,5,5,27677071
4,1,39,3,2,5,8357552
4,2,53,1,6,8,4270756
4,2,68,1,1,5,36733568
4,2,66,1,2,8,27631378
4,1,21,2,3,5,10879316
4,3,65,2,1,16,19558395
4,3,66,1,11,13,16388356
4,2,65,2,4,11,15267031
4,1,43,2,8,12,11439183
4,1,29,1,3,10,19070135
4,2,66,1,2,5,32252394
4,2,83,1,1,5,15316697
4,3,72,1,4,6,17622481
4,1,38,1,15,15,15293271
4,1,51,2,20,22,22609142
4,1,47,1,4,5,23910769
4,1,39,1,5,8,14534710
5,1,33,1,26,32,15990000
5,2,82,2,12,16,16000000
5,2,88,1,25,55,33000000
5,5,222,2,13,20,35900000
5,3,66,1,4,5,14180000
5,3,60,1,2,12,11900000
5,3,100,2,23,25,18900000
5,1,44,3,22,25,7520000
5,2,62,1,7,9,12400000
5,2,77,2,2,16,15500000
5,2,44,1,1,5,5100000
5,1,37,1,10,31,8530517
5,1,44,1,14,31,9661486
5,1,34,1,2,24,6624800
5,1,21,2,8,9,3150000
5,3,86,1,6,10,19539080
5,2,80,1,22,32,22240213
5,1,42,2,4,11,12781816
5,1,41,1,21,21,9133410
5,1,32,2,7,35,5161103
5,1,38,1,5,8,10915321
5,2,71,3,5,18,13460661
5,2,26,1,12,36,19455374
5,1,51,2,17,28,3716868
5,1,37,1,3,12,10590040
5,1,32,2,5,27,6234672
5,3,48,1,4,5,18742687
5,2,68,2,17,20,15208304
5,3,91,1,16,26,11049459
5,2,73,1,6,20,41902445
5,1,27,1,2,13,7213380
5,5,228,1,1,5,29751178
5,1,36,1,3,17,16563350
5,5,225,1,5,5,35828331
5,2,72,2,18,25,8691572
5,2,77,1,33,37,28231635
5,3,77,2,23,30,12003214
5,2,95,1,5,11,10761129
5,2,68,1,9,19,15683908
5,1,46,2,9,23,9698150
5,2,35,1,9,10,12674897
5,1,41,2,14,16,6969080
5,2,51,2,1,27,11035107
5,3,77,1,1,12,18595777
5,1,33,1,2,5,17158535
5,2,61,2,7,20,26705607
5,2,74,1,1,5,27751032
5,2,88,2,9,24,18140881
5,1,56,1,14,49,15553821
5,1,23,1,4,7,13324036
5,5,226,3,4,22,34539695
5,1,38,1,19,51,9145068
5,1,30,1,1,5,8963678
5,1,36,2,5,10,10066147
5,2,78,2,20,24,4767573
5,1,44,3,2,5,12248767
5,1,37,1,3,17,16563350
5,1,29,1,3,25,3610293
5,1,32,1,6,39,11179352
5,2,60,1,14,24,30022743
5,3,108,2,2,33,15241905
5,3,94,1,3,5,9108880
5,2,73,2,1,5,23458238
5,2,55,1,14,20,15441691
5,1,32,3,2,31,12719560
5,1,32,1,19,26,6750896
5,3,60,2,24,51,9213601
5,1,51,2,52,56,13159553
5,2,84,3,8,11,10150480
5,5,215,1,5,5,36752290
5,3,49,1,5,5,14357976
5,1,22,2,27,57,12817261
5,1,34,1,4,27,5574289
5,1,27,2,45,50,12059941
5,1,22,1,22,31,8188627
5,1,27,1,2,5,7436300
5,1,28,1,4,38,2560223
5,2,93,1,7,32,26811135
5,2,73,1,16,22,21070190
5,1,36,3,27,36,10840299
5,2,72,2,2,5,18657591
5,1,28,1,2,5,6821062
5,5,229,1,1,9,36566414
5,1,31,1,4,13,7986429
5,1,25,1,11,12,9580676
5,2,85,2,9,16,11425382
5,2,60,2,18,26,18731362
5,2,60,1,2,7,27789616
5,3,114,1,18,19,14636235
5,1,28,1,33,33,5555429
5,3,96,3,1,11,17170413
